age_labels,agepops,agelims,vacc_rate
under1,4600,1,0
1to4,19840,4,0
5to11s1,673,11,0
5to11s2,360,11,0
5to11s3,626,11,0
5to11s4,320,11,0
12to13s5,58,13,0
5to11s6,14,11,0
12to13s7,3,13,0
14to17s8,1,17,0
12to13s9,12,13,0
14to17s10,55,17,0
5to11s11,962,11,0
5to11s12,493,11,0
14to17s13,2092,17,0
12to13s14,428,13,0
5to11s15,510,11,0
5to11s16,634,11,0
5to11s17,739,11,0
12to13s18,646,13,0
12to13s19,655,13,0
5to11s20,399,11,0
12to13s21,589,13,0
5to11s22,239,11,0
12to13s23,17,13,0
14to17s24,2864,17,0
5to11s25,482,11,0
5to11s26,581,11,0
5to11s27,662,11,0
5to11s28,567,11,0
5to11s29,312,11,0
12to13s30,73,13,0
14to17s31,248,17,0
5to11s32,695,11,0
14to17s33,3043,17,0
12to13s34,19,13,0
14to17s35,127,17,0
5to11s36,348,11,0
5to11s37,478,11,0
5to11s38,523,11,0
12to13s39,2,13,0
14to17s40,49,17,0
5to11s41,591,11,0
5to11s42,674,11,0
12to13s43,654,13,0
5to11s44,41,11,0
14to17s45,3032,17,0
12to13s46,856,13,0
5to11s47,459,11,0
14to17s48,27,17,0
5to11s49,505,11,0
5to11s50,625,11,0
5to11s51,648,11,0
5to11s52,377,11,0
12to13s53,204,13,0
5to11s54,484,11,0
5to11s55,446,11,0
5to11s56,452,11,0
5to11s57,527,11,0
5to11s58,749,11,0
12to13s59,582,13,0
5to11s60,515,11,0
5to11s61,464,11,0
5to11s62,644,11,0
5to11s63,910,11,0
14to17s64,455,17,0
5to11s65,101,11,0
12to13s66,27,13,0
14to17s67,3022,17,0
5to11s68,534,11,0
12to13s69,115,13,0
14to17s70,417,17,0
5to11s71,530,11,0
12to13s72,763,13,0
5to11s73,791,11,0
12to13s74,169,13,0
5to11s75,637,11,0
5to11s76,330,11,0
12to13s77,456,13,0
5to11s78,463,11,0
5to11s79,615,11,0
14to17s80,353,17,0
5to11s81,732,11,0
12to13s82,741,13,0
5to11s83,619,11,0
14to17s84,909,17,0
12to13s85,634,13,0
5to11s86,506,11,0
12to13s87,311,13,0
12to13s88,655,13,0
14to17s89,2826,17,0
5to11s90,534,11,0
5to11s91,567,11,0
5to11s92,613,11,0
5to11s93,423,11,0
5to11s94,434,11,0
14to17s95,4,17,0
5to11s96,96,11,0
12to13s97,12,13,0
5to11s98,715,11,0
12to13s99,833,13,0
5to11s100,509,11,0
5to11s101,707,11,0
12to13s102,645,13,0
5to11s103,780,11,0
5to11s104,414,11,0
12to13s105,87,13,0
14to17s106,439,17,0
5to11s107,552,11,0
5to11s108,917,11,0
12to13s109,620,13,0
5to11s110,363,11,0
12to13s111,114,13,0
5to11s112,760,11,0
14to17s113,3691,17,0
12to13s114,826,13,0
5to11s115,913,11,0
5to11s116,341,11,0
5to11s117,362,11,0
14to17s118,195,17,0
5to11s119,345,11,0
5to11s120,443,11,0
14to17s121,2111,17,0
5to11s122,550,11,0
5to11s123,528,11,0
5to11s124,458,11,0
5to11s125,676,11,0
5to11s126,624,11,0
12to13s127,1047,13,0
5to11s128,632,11,0
5to11s129,382,11,0
5to11s130,507,11,0
14to17s131,2171,17,0
5to11s132,469,11,0
5to11s133,2,11,0
5to11s134,546,11,0
12to13s135,315,13,0
5to11s136,867,11,0
18to24,37273,24,0
25to44,108580,44,0
45to69,95226,69,0
70+,29039,90,0
